dataset,tid,metric,metric_error,metric_error_val,batch_size,lora_alpha,lora_dropout,lora_lr,lora_rank,lr,token_dim,num_epochs,weight_decay
QSAR_fish_toxicity,363698,rmse,1.48918497026507,1.4705583556896547,256,32,0.1,0.0001,8,0.001,,200.0,1e-05
website_phishing,363707,log_loss,0.2727801324984074,0.2929747935355875,256,32,0.1,0.0001,8,0.001,,200.0,1e-05
concrete_compressive_strength,363625,rmse,15.738094555035646,16.29614405143936,256,32,0.1,0.0001,8,0.001,,200.0,1e-05
airfoil_self_noise,363612,rmse,6.158132469673948,6.373718686832653,256,32,0.1,0.0001,8,0.001,,200.0,1e-05
miami_housing,363686,rmse,164784.16681689027,184974.1996969064,256,32,0.1,0.0001,8,0.001,,200.0,1e-05
Another-Dataset-on-used-Fiat-500,363615,rmse,1317.210977586544,1526.1033124414841,256,32,0.1,0.0001,8,0.001,,200.0,1e-05
healthcare_insurance_expenses,363675,rmse,5809.546042052768,6790.324896264951,256,32,0.1,0.0001,8,0.001,,200.0,1e-05
maternal_health_risk,363685,log_loss,0.6955337485942736,0.6747835074643592,256,32,0.1,0.0001,8,0.001,,200.0,1e-05
wine_quality,363708,rmse,0.779291570186615,0.8343573212623596,256,32,0.1,0.0001,8,0.001,,200.0,1e-05
anneal,363614,log_loss,0.21200211905965388,0.1984041778650822,256,32,0.1,0.0001,8,0.001,,200.0,1e-05
QSAR_fish_toxicity,363698,rmse,1.3924259534475454,1.4296526587301315,128,32,0.1,0.00020692098656538343,4,0.03874140008103832,16.0,,
website_phishing,363707,log_loss,0.23602774109581967,0.2587817194474638,128,32,0.1,0.00020692098656538343,4,0.03874140008103832,16.0,,
concrete_compressive_strength,363625,rmse,13.141023978568874,14.58776670196201,128,32,0.1,0.00020692098656538343,4,0.03874140008103832,16.0,,
airfoil_self_noise,363612,rmse,5.953198937173022,6.306148051960145,128,32,0.1,0.00020692098656538343,4,0.03874140008103832,16.0,,
Another-Dataset-on-used-Fiat-500,363615,rmse,1402.461182278651,1519.2358520965145,128,32,0.1,0.00020692098656538343,4,0.03874140008103832,16.0,,
healthcare_insurance_expenses,363675,rmse,7054.916029921132,7977.534709074088,128,32,0.1,0.00020692098656538343,4,0.03874140008103832,16.0,,
maternal_health_risk,363685,log_loss,0.6964176384297054,0.7068658153525618,128,32,0.1,0.00020692098656538343,4,0.03874140008103832,16.0,,
wine_quality,363708,rmse,0.7652983069419861,0.8165846467018127,128,32,0.1,0.00020692098656538343,4,0.03874140008103832,16.0,,
anneal,363614,log_loss,0.16135064678022412,0.1484133669368088,128,32,0.1,0.00020692098656538343,4,0.03874140008103832,16.0,,
QSAR_fish_toxicity,363698,rmse,2.118257994801635,2.1729481129082275,512,16,0.05,0.0059812219011525555,8,0.0008139957109567866,16.0,,
website_phishing,363707,log_loss,0.7038337997183945,0.7525241815240853,512,16,0.05,0.0059812219011525555,8,0.0008139957109567866,16.0,,
concrete_compressive_strength,363625,rmse,25.439446199008486,25.884099842269016,512,16,0.05,0.0059812219011525555,8,0.0008139957109567866,16.0,,
airfoil_self_noise,363612,rmse,9.079136143641838,9.640012190014248,512,16,0.05,0.0059812219011525555,8,0.0008139957109567866,16.0,,
Another-Dataset-on-used-Fiat-500,363615,rmse,2303.9903040982067,2393.8980755256603,512,16,0.05,0.0059812219011525555,8,0.0008139957109567866,16.0,,
healthcare_insurance_expenses,363675,rmse,16781.461800871075,17759.14813862776,512,16,0.05,0.0059812219011525555,8,0.0008139957109567866,16.0,,
maternal_health_risk,363685,log_loss,1.0748160906853321,1.0775502748368457,512,16,0.05,0.0059812219011525555,8,0.0008139957109567866,16.0,,
wine_quality,363708,rmse,0.888830840587616,0.9333400130271912,512,16,0.05,0.0059812219011525555,8,0.0008139957109567866,16.0,,
anneal,363614,log_loss,0.8320899854725424,0.8206180663315078,512,16,0.05,0.0059812219011525555,8,0.0008139957109567866,16.0,,
students_dropout_and_academic_success,363704,log_loss,0.6137795807848623,0.6369348782206228,128,32,0.0,0.0006431172050131992,32,0.01935116112733454,32.0,,
QSAR_fish_toxicity,363698,rmse,1.540648460611762,1.4997423281829831,128,32,0.0,0.0006431172050131992,32,0.01935116112733454,32.0,,
website_phishing,363707,log_loss,0.24036400766560662,0.24754429889978552,128,32,0.0,0.0006431172050131992,32,0.01935116112733454,32.0,,
concrete_compressive_strength,363625,rmse,17.607048632869578,17.957784044418737,128,32,0.0,0.0006431172050131992,32,0.01935116112733454,32.0,,
airfoil_self_noise,363612,rmse,6.4743297036719,6.921613513015764,128,32,0.0,0.0006431172050131992,32,0.01935116112733454,32.0,,
miami_housing,363686,rmse,186059.92227921574,219125.47465194,128,32,0.0,0.0006431172050131992,32,0.01935116112733454,32.0,,
Another-Dataset-on-used-Fiat-500,363615,rmse,1441.392168787073,1656.0244898363608,128,32,0.0,0.0006431172050131992,32,0.01935116112733454,32.0,,
healthcare_insurance_expenses,363675,rmse,8465.60553474949,10361.673496263586,128,32,0.0,0.0006431172050131992,32,0.01935116112733454,32.0,,
maternal_health_risk,363685,log_loss,0.7614927043776134,0.7820983766126788,128,32,0.0,0.0006431172050131992,32,0.01935116112733454,32.0,,
wine_quality,363708,rmse,0.7929527163505554,0.8421949744224548,128,32,0.0,0.0006431172050131992,32,0.01935116112733454,32.0,,
anneal,363614,log_loss,0.18182041329502982,0.15069420637677722,128,32,0.0,0.0006431172050131992,32,0.01935116112733454,32.0,,
QSAR_fish_toxicity,363698,rmse,1.6935238487980577,1.7097117434960685,512,16,0.1,0.0021023308743480106,32,0.0003841164540280357,16.0,,
website_phishing,363707,log_loss,0.3225258488790926,0.3989971455146276,512,16,0.1,0.0021023308743480106,32,0.0003841164540280357,16.0,,
concrete_compressive_strength,363625,rmse,19.358412023804807,19.121260549720134,512,16,0.1,0.0021023308743480106,32,0.0003841164540280357,16.0,,
airfoil_self_noise,363612,rmse,8.300368661868946,8.527320564338059,512,16,0.1,0.0021023308743480106,32,0.0003841164540280357,16.0,,
Another-Dataset-on-used-Fiat-500,363615,rmse,2437.4923784962034,2493.895178869844,512,16,0.1,0.0021023308743480106,32,0.0003841164540280357,16.0,,
healthcare_insurance_expenses,363675,rmse,15194.142093074981,16084.08909772735,512,16,0.1,0.0021023308743480106,32,0.0003841164540280357,16.0,,
