dataset,tid,metric,metric_error,metric_error_val,batch_size,lora_alpha,lora_dropout,lora_lr,lora_rank,lr,num_buckets,token_dim,num_epochs,weight_decay
healthcare_insurance_expenses,363675,rmse,11582.04674505614,12383.516016061823,128,32,0.0,0.0011103525577197586,16,0.00451481421315483,128.0,32.0,,
wine_quality,363708,rmse,0.8923754096031189,0.9312208890914917,128,32,0.0,0.0011103525577197586,16,0.00451481421315483,128.0,32.0,,
QSAR_fish_toxicity,363698,rmse,1.4906795599931464,1.4266817555696805,512,16,0.1,1.4795816345422874e-05,4,0.0010836702671749576,64.0,64.0,,
concrete_compressive_strength,363625,rmse,16.863131725220413,16.47797860136199,512,16,0.1,1.4795816345422874e-05,4,0.0010836702671749576,64.0,64.0,,
airfoil_self_noise,363612,rmse,6.944981047140582,6.869933802898566,512,16,0.1,1.4795816345422874e-05,4,0.0010836702671749576,64.0,64.0,,
miami_housing,363686,rmse,322560.28084119264,315492.8003355682,512,16,0.1,1.4795816345422874e-05,4,0.0010836702671749576,64.0,64.0,,
Another-Dataset-on-used-Fiat-500,363615,rmse,1738.1237197697276,1815.378860376705,512,16,0.1,1.4795816345422874e-05,4,0.0010836702671749576,64.0,64.0,,
healthcare_insurance_expenses,363675,rmse,11366.465872500165,12204.262927477239,512,16,0.1,1.4795816345422874e-05,4,0.0010836702671749576,64.0,64.0,,
wine_quality,363708,rmse,0.864749014377594,0.9040077924728394,512,16,0.1,1.4795816345422874e-05,4,0.0010836702671749576,64.0,64.0,,
QSAR_fish_toxicity,363698,rmse,1.5007348417887831,1.4342564212558715,256,64,0.0,0.008626905220714904,4,0.014508886914951658,128.0,64.0,,
concrete_compressive_strength,363625,rmse,16.982874836086093,16.587741115087958,256,64,0.0,0.008626905220714904,4,0.014508886914951658,128.0,64.0,,
airfoil_self_noise,363612,rmse,6.9481520538786485,6.875987808641045,256,64,0.0,0.008626905220714904,4,0.014508886914951658,128.0,64.0,,
miami_housing,363686,rmse,322606.1688697219,315587.8201468603,256,64,0.0,0.008626905220714904,4,0.014508886914951658,128.0,64.0,,
Another-Dataset-on-used-Fiat-500,363615,rmse,1905.1375783830745,1956.1994474679966,256,64,0.0,0.008626905220714904,4,0.014508886914951658,128.0,64.0,,
healthcare_insurance_expenses,363675,rmse,11572.100433539536,12396.417832957983,256,64,0.0,0.008626905220714904,4,0.014508886914951658,128.0,64.0,,
wine_quality,363708,rmse,0.8832899332046509,0.9279735088348389,256,64,0.0,0.008626905220714904,4,0.014508886914951658,128.0,64.0,,
QSAR_fish_toxicity,363698,rmse,1.492431509447194,1.4379548642629876,128,32,0.05,0.0004093734644841741,4,0.0025612558727762763,64.0,64.0,,
concrete_compressive_strength,363625,rmse,15.082401685344706,15.32376022481436,128,32,0.05,0.0004093734644841741,4,0.0025612558727762763,64.0,64.0,,
airfoil_self_noise,363612,rmse,6.2162305669106095,6.233095358316965,128,32,0.05,0.0004093734644841741,4,0.0025612558727762763,64.0,64.0,,
miami_housing,363686,rmse,164223.04408270444,178325.55798173824,128,32,0.05,0.0004093734644841741,4,0.0025612558727762763,64.0,64.0,,
Another-Dataset-on-used-Fiat-500,363615,rmse,1311.0610524282822,1406.3267706719805,128,32,0.05,0.0004093734644841741,4,0.0025612558727762763,64.0,64.0,,
healthcare_insurance_expenses,363675,rmse,10386.027172051212,11486.290619376236,128,32,0.05,0.0004093734644841741,4,0.0025612558727762763,64.0,64.0,,
wine_quality,363708,rmse,0.8628979921340942,0.9017095565795898,128,32,0.05,0.0004093734644841741,4,0.0025612558727762763,64.0,64.0,,
