Dataset,tid,model,metric,metric_error,metric_error_val
taiwanese_bankruptcy_prediction,363706,CAT (tuned),roc_auc,0.05133872976338727,0.057209971963325
website_phishing,363707,CAT (tuned),log_loss,0.2096628570755173,0.24578186309144304
wine_quality,363708,CAT (tuned),rmse,0.5950021385410639,0.6157428141032305
APSFailure,363616,LR (default),roc_auc,0.00941071369921509,0.013453797371135057
Amazon_employee_access,363613,LR (default),roc_auc,0.15891904749018737,0.1503799985903571
Another-Dataset-on-used-Fiat-500,363615,LR (default),rmse,773.1329009383466,811.5818703824589
Bank_Customer_Churn,363619,LR (default),roc_auc,0.2351846767013639,0.22635283613363766
Bioresponse,363620,LR (default),roc_auc,0.1972707429200965,0.23983151803948277
Diabetes130US,363630,LR (default),roc_auc,0.3472693329933261,0.3585541972110975
E-CommereShippingData,363632,LR (default),roc_auc,0.3004778662394795,0.29409525097830813
Fitness_Club,363671,LR (default),roc_auc,0.19683908045977017,0.17843317710013462
Food_Delivery_Time,363672,LR (default),rmse,8.605879783630371,8.56860637664795
GiveMeSomeCredit,363673,LR (default),roc_auc,0.15561349826470716,0.1609713107402172
HR_Analytics_Job_Change_of_Data_Scientists,363679,LR (default),roc_auc,0.19447637121779116,0.2096337285626353
Is-this-a-good-customer,363682,LR (default),roc_auc,0.27650770971006733,0.2657850989874566
MIC,363711,LR (default),log_loss,0.6310998389549547,0.6478881699924067
Marketing_Campaign,363684,LR (default),roc_auc,0.07648450337129575,0.10519755658345398
NATICUSdroid,363689,LR (default),roc_auc,0.01867251508986234,0.019098115201691024
QSAR-TID-11,363697,LR (default),rmse,1.0641431431066701,1.0167086441548498
QSAR_fish_toxicity,363698,LR (default),rmse,0.9779810035849538,0.9420659478774077
SDSS17,363699,LR (default),log_loss,0.1479505656861328,0.14900419286769623
airfoil_self_noise,363612,LR (default),rmse,5.424097983642563,5.324660310188381
anneal,363614,LR (default),log_loss,0.10165076885028021,0.09018545832078034
bank-marketing,363618,LR (default),roc_auc,0.2446933987395109,0.2568656690270147
blood-transfusion-service-center,363621,LR (default),roc_auc,0.2689473684210526,0.2589094558429973
churn,363623,LR (default),roc_auc,0.23656563503061745,0.23209683665157765
coil2000_insurance_policies,363624,LR (default),roc_auc,0.26412754723894705,0.27177578843783734
concrete_compressive_strength,363625,LR (default),rmse,8.079074721109023,8.610251931839596
credit-g,363626,LR (default),roc_auc,0.2336324786324786,0.21504291845493562
credit_card_clients_default,363627,LR (default),roc_auc,0.25338232487315304,0.2576682719322443
customer_satisfaction_in_airline,363628,LR (default),roc_auc,0.035091729653958126,0.03587208448569801
diabetes,363629,LR (default),roc_auc,0.17771084337349397,0.1739554598667833
diamonds,363631,LR (default),rmse,1603.156652729203,1551.599624955023
hazelnut-spread-contaminant-detection,363674,LR (default),roc_auc,0.057287499999999936,0.05107031249999994
healthcare_insurance_expenses,363675,LR (default),rmse,5575.862768468926,6331.167662555981
heloc,363676,LR (default),roc_auc,0.21499864862192397,0.21382513354385724
hiva_agnostic,363677,LR (default),log_loss,0.4482800636560701,0.5085584212015936
houses,363678,LR (default),rmse,0.3217724260810055,0.32708129889077475
in_vehicle_coupon_recommendation,363681,LR (default),roc_auc,0.2542867607350323,0.2724634161635854
jm1,363712,LR (default),roc_auc,0.2657325402456936,0.2828668651037072
kddcup09_appetency,363683,LR (default),roc_auc,0.21351449744852313,0.21695823087723698
maternal_health_risk,363685,LR (default),log_loss,0.7708599588207895,0.8029346470539664
miami_housing,363686,LR (default),rmse,192166.10927231403,190883.37924760685
online_shoppers_intention,363691,LR (default),roc_auc,0.09822291741345412,0.08363555595384231
physiochemical_protein,363693,LR (default),rmse,5.167160964253382,5.21210180372023
polish_companies_bankruptcy,363694,LR (default),roc_auc,0.12734540381037907,0.13064916912564062
qsar-biodeg,363696,LR (default),roc_auc,0.10307642370252834,0.09988542954826507
seismic-bumps,363700,LR (default),roc_auc,0.22116159965130222,0.261042696777529
splice,363702,LR (default),log_loss,0.1415672832062087,0.21293761643999787
students_dropout_and_academic_success,363704,LR (default),log_loss,0.5903326751478909,0.566711790689849
superconductivity,363705,LR (default),rmse,17.41749763924846,17.44687235129963
taiwanese_bankruptcy_prediction,363706,LR (default),roc_auc,0.058144458281444544,0.06961074950553092
website_phishing,363707,LR (default),log_loss,0.3413345934803583,0.3699435182676259
wine_quality,363708,LR (default),rmse,0.7113195657730103,0.7392764091491699
APSFailure,363616,LR (tuned + ensemble),roc_auc,0.00866651339486102,0.010855039389085164
Amazon_employee_access,363613,LR (tuned + ensemble),roc_auc,0.15448310186238678,0.14735291558870922
Another-Dataset-on-used-Fiat-500,363615,LR (tuned + ensemble),rmse,728.5160420265911,780.6160670419453
Bank_Customer_Churn,363619,LR (tuned + ensemble),roc_auc,0.23362760678853634,0.22393443136932834
Bioresponse,363620,LR (tuned + ensemble),roc_auc,0.1743913676916503,0.1981845127586278
Diabetes130US,363630,LR (tuned + ensemble),roc_auc,0.3329000667240809,0.3475841325190667
E-CommereShippingData,363632,LR (tuned + ensemble),roc_auc,0.2786364372389566,0.27616626890187934
Fitness_Club,363671,LR (tuned + ensemble),roc_auc,0.19846491228070173,0.17632213134974095
Food_Delivery_Time,363672,LR (tuned + ensemble),rmse,8.323596949743653,8.267535872534214
GiveMeSomeCredit,363673,LR (tuned + ensemble),roc_auc,0.15470374031248024,0.16034367750881873
HR_Analytics_Job_Change_of_Data_Scientists,363679,LR (tuned + ensemble),roc_auc,0.19522577688190645,0.2064531885882226
Is-this-a-good-customer,363682,LR (tuned + ensemble),roc_auc,0.2831160326248735,0.2567591053347439
MIC,363711,LR (tuned + ensemble),log_loss,0.49117279052734375,0.48244214057922363
Marketing_Campaign,363684,LR (tuned + ensemble),roc_auc,0.07603121989914441,0.10437837646975745
NATICUSdroid,363689,LR (tuned + ensemble),roc_auc,0.018889645555663637,0.01908041218953671
QSAR-TID-11,363697,LR (tuned + ensemble),rmse,0.9937261494666302,0.9216605013530305
QSAR_fish_toxicity,363698,LR (tuned + ensemble),rmse,0.9768729285149236,0.9419054484265323
SDSS17,363699,LR (tuned + ensemble),log_loss,0.1373123675584793,0.1362636238336563
airfoil_self_noise,363612,LR (tuned + ensemble),rmse,4.73505463317741,4.770771986854563
anneal,363614,LR (tuned + ensemble),log_loss,0.05425482988357544,0.03047705814242363
bank-marketing,363618,LR (tuned + ensemble),roc_auc,0.2439049750396428,0.2558943128504093
blood-transfusion-service-center,363621,LR (tuned + ensemble),roc_auc,0.2460526315789474,0.23894959857270293
churn,363623,LR (tuned + ensemble),roc_auc,0.18038825522036273,0.17837362259106437
coil2000_insurance_policies,363624,LR (tuned + ensemble),roc_auc,0.26937733696421584,0.26061638614813487
concrete_compressive_strength,363625,LR (tuned + ensemble),rmse,7.9030084866624035,8.483338525847573
credit-g,363626,LR (tuned + ensemble),roc_auc,0.23465811965811967,0.20037553648068673
credit_card_clients_default,363627,LR (tuned + ensemble),roc_auc,0.2535451211164578,0.2573453278958401
customer_satisfaction_in_airline,363628,LR (tuned + ensemble),roc_auc,0.034936809547805536,0.03567418492687702
diabetes,363629,LR (tuned + ensemble),roc_auc,0.17362784471218207,0.17101190876673622
diamonds,363631,LR (tuned + ensemble),rmse,1142.6505776767106,1126.0590791901427
hazelnut-spread-contaminant-detection,363674,LR (tuned + ensemble),roc_auc,0.05550624999999998,0.04459843750000003
healthcare_insurance_expenses,363675,LR (tuned + ensemble),rmse,5578.938995200396,6328.296666649604
heloc,363676,LR (tuned + ensemble),roc_auc,0.2160390449382651,0.21352605169832728
hiva_agnostic,363677,LR (tuned + ensemble),log_loss,0.3249020576477051,0.35815203189849854
houses,363678,LR (tuned + ensemble),rmse,0.32148281437516457,0.3247021531166705
in_vehicle_coupon_recommendation,363681,LR (tuned + ensemble),roc_auc,0.2532601685421958,0.2718124889550163
jm1,363712,LR (tuned + ensemble),roc_auc,0.2666881290899057,0.282368825131983
kddcup09_appetency,363683,LR (tuned + ensemble),roc_auc,0.18348954830323183,0.18561374764226501
maternal_health_risk,363685,LR (tuned + ensemble),log_loss,0.7640236616134644,0.7879407405853271
miami_housing,363686,LR (tuned + ensemble),rmse,174850.95130663374,175897.56883943203
online_shoppers_intention,363691,LR (tuned + ensemble),roc_auc,0.09145747565925488,0.07761627933290605
physiochemical_protein,363693,LR (tuned + ensemble),rmse,5.1100143052055875,5.155526262650105
polish_companies_bankruptcy,363694,LR (tuned + ensemble),roc_auc,0.09902816088267363,0.10352977250010953
qsar-biodeg,363696,LR (tuned + ensemble),roc_auc,0.07934504273812526,0.0774532625300065
