dataset,metric,metric_error,metric_error_val,batch_size,lora_alpha,lora_dropout,lora_lr,lora_rank,lr,token_dim,weight_decay,num_epochs
airfoil_self_noise,rmse,6.943906852254104,6.951196751897104,512,16,0.1136867897737297,1.090384328196852e-05,8,0.00019922770602188457,16.0,7.092543214735827e-05,
credit-g,roc_auc,0.22401709401709413,0.25959227467811163,512,16,0.1136867897737297,1.090384328196852e-05,8,0.00019922770602188457,16.0,7.092543214735827e-05,
diabetes,roc_auc,0.20033467202141908,0.2525819148220413,512,16,0.1136867897737297,1.090384328196852e-05,8,0.00019922770602188457,16.0,7.092543214735827e-05,
maternal_health_risk,log_loss,0.8279402004707453,0.8344858063030578,512,16,0.1136867897737297,1.090384328196852e-05,8,0.00019922770602188457,16.0,7.092543214735827e-05,
anneal,log_loss,0.6014278597686168,0.6159486253106065,512,16,0.1136867897737297,1.090384328196852e-05,8,0.00019922770602188457,16.0,7.092543214735827e-05,
blood-transfusion-service-center,roc_auc,0.2779824561403508,0.2397301516503122,128,64,0.020408962149605615,2.6166974560854464e-05,32,0.0097858630883205,16.0,5.752740814116683e-06,
QSAR_fish_toxicity,rmse,1.204569141400905,1.3048833225647052,128,64,0.020408962149605615,2.6166974560854464e-05,32,0.0097858630883205,16.0,5.752740814116683e-06,
concrete_compressive_strength,rmse,10.619139793193069,12.253729052744125,128,64,0.020408962149605615,2.6166974560854464e-05,32,0.0097858630883205,16.0,5.752740814116683e-06,
airfoil_self_noise,rmse,5.1598451708474915,5.411061351453128,128,64,0.020408962149605615,2.6166974560854464e-05,32,0.0097858630883205,16.0,5.752740814116683e-06,
credit-g,roc_auc,0.20478632478632475,0.2434012875536481,128,64,0.020408962149605615,2.6166974560854464e-05,32,0.0097858630883205,16.0,5.752740814116683e-06,
diabetes,roc_auc,0.19163319946452484,0.18661272959698583,128,64,0.020408962149605615,2.6166974560854464e-05,32,0.0097858630883205,16.0,5.752740814116683e-06,
maternal_health_risk,log_loss,0.6251379355117285,0.6147338037080742,128,64,0.020408962149605615,2.6166974560854464e-05,32,0.0097858630883205,16.0,5.752740814116683e-06,
